year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,23.0,98.407,HARD,13.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,24.0,98.42,HARD,14.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,25.0,98.494,HARD,15.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,26.0,98.665,HARD,16.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,27.0,98.549,HARD,17.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,28.0,98.372,HARD,18.0,2.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,29.0,98.556,HARD,19.0,2.0,14.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,32.0,96.887,HARD,2.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,33.0,96.704,HARD,3.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,34.0,96.226,HARD,4.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,35.0,96.354,HARD,5.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,36.0,97.229,HARD,6.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,37.0,96.58,HARD,7.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,38.0,96.814,HARD,8.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,39.0,96.552,HARD,9.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,40.0,96.608,HARD,10.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,41.0,96.621,HARD,11.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,42.0,96.592,HARD,12.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,43.0,96.679,HARD,13.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,44.0,96.649,HARD,14.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,45.0,98.049,HARD,15.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,46.0,96.975,HARD,16.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,47.0,96.656,HARD,17.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,48.0,97.117,HARD,18.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,49.0,97.726,HARD,19.0,3.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,50.0,97.784,HARD,20.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,51.0,97.091,HARD,21.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,52.0,98.631,HARD,22.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,53.0,97.145,HARD,23.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,54.0,98.707,HARD,24.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,55.0,97.393,HARD,25.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,56.0,97.415,HARD,26.0,3.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,2.0,98.02,SOFT,5.0,1.0,6.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,3.0,99.046,SOFT,6.0,1.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,4.0,97.776,SOFT,7.0,1.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,5.0,99.292,SOFT,8.0,1.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,6.0,98.053,SOFT,9.0,1.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,7.0,98.008,SOFT,10.0,1.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,8.0,98.103,SOFT,11.0,1.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,9.0,98.896,SOFT,12.0,1.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,11.0,98.554,SOFT,14.0,1.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,12.0,98.543,SOFT,15.0,1.0,6.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,13.0,98.587,SOFT,16.0,1.0,4.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,14.0,98.612,SOFT,17.0,1.0,3.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,17.0,96.97,HARD,2.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,18.0,97.361,HARD,3.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,19.0,97.072,HARD,4.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,20.0,97.357,HARD,5.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,21.0,97.342,HARD,6.0,2.0,9.0
