driver,race,stint,compound,stint_length,avg_lap_time
ALO,Hungarian Grand Prix,2.0,MEDIUM,30.0,85.03007142857143
ALO,Hungarian Grand Prix,3.0,HARD,34.0,83.58605172413793
ALO,Italian Grand Prix,1.0,MEDIUM,30.0,87.3020350877193
ALO,Italian Grand Prix,2.0,HARD,33.0,86.01772000000001
ALO,Italian Grand Prix,3.0,HARD,20.0,83.55982352941177
ALO,Japanese Grand Prix,1.0,SOFT,13.0,99.4775
ALO,Japanese Grand Prix,2.0,HARD,13.0,99.76
ALO,Japanese Grand Prix,2.0,SOFT,12.0,98.318
ALO,Japanese Grand Prix,2.0,WET,5.0,114.8075
ALO,Japanese Grand Prix,3.0,HARD,28.0,98.24659259259259
ALO,Japanese Grand Prix,3.0,INTERMEDIATE,13.0,108.24541666666666
ALO,Japanese Grand Prix,3.0,MEDIUM,19.0,97.40133333333333
ALO,Japanese Grand Prix,4.0,HARD,20.0,95.77873684210526
ALO,Japanese Grand Prix,4.0,INTERMEDIATE,6.0,105.6556
ALO,Las Vegas Grand Prix,1.0,SOFT,3.0,100.3785
ALO,Las Vegas Grand Prix,2.0,HARD,25.0,99.95918918918919
ALO,Las Vegas Grand Prix,3.0,HARD,27.0,97.82419148936171
ALO,Mexico City Grand Prix,1.0,MEDIUM,39.0,84.69022857142856
ALO,Mexico City Grand Prix,2.0,HARD,23.0,84.46721739130435
ALO,Mexico City Grand Prix,3.0,HARD,18.0,86.9030909090909
ALO,Miami Grand Prix,1.0,HARD,22.0,94.3921
ALO,Miami Grand Prix,1.0,MEDIUM,24.0,94.07091428571428
ALO,Miami Grand Prix,2.0,HARD,40.0,93.23192063492063
ALO,Miami Grand Prix,2.0,MEDIUM,36.0,92.66710344827587
ALO,Monaco Grand Prix,1.0,HARD,40.0,77.71426315789473
ALO,Monaco Grand Prix,1.0,WET,20.0,96.95344444444444
ALO,Monaco Grand Prix,2.0,MEDIUM,40.0,81.54071052631579
ALO,Monaco Grand Prix,3.0,INTERMEDIATE,23.0,94.20736363636364
ALO,Monaco Grand Prix,3.0,MEDIUM,34.0,80.40342424242425
ALO,Qatar Grand Prix,1.0,MEDIUM,34.0,87.54727777777778
ALO,Qatar Grand Prix,2.0,MEDIUM,19.0,89.03661538461539
ALO,Qatar Grand Prix,3.0,HARD,17.0,87.8645
ALO,Qatar Grand Prix,4.0,MEDIUM,27.0,85.33851851851851
ALO,Saudi Arabian Grand Prix,1.0,MEDIUM,17.0,95.61334285714285
ALO,Saudi Arabian Grand Prix,2.0,HARD,40.0,93.93328048780488
ALO,Singapore Grand Prix,1.0,INTERMEDIATE,20.0,122.00025
ALO,Singapore Grand Prix,1.0,MEDIUM,25.0,99.72034146341464
ALO,Singapore Grand Prix,2.0,HARD,37.0,99.35685454545455
ALO,Singapore Grand Prix,3.0,SOFT,20.0,99.78635294117646
ALO,Spanish Grand Prix,1.0,SOFT,21.0,83.41690476190476
ALO,Spanish Grand Prix,2.0,MEDIUM,26.0,84.9036046511628
ALO,Spanish Grand Prix,2.0,SOFT,27.0,80.38452173913043
ALO,Spanish Grand Prix,3.0,HARD,22.0,79.0966
ALO,Spanish Grand Prix,3.0,SOFT,21.0,88.0821
ALO,Spanish Grand Prix,4.0,SOFT,14.0,87.25663636363636
ALO,São Paulo Grand Prix,1.0,INTERMEDIATE,26.0,85.25204
ALO,São Paulo Grand Prix,1.0,MEDIUM,13.0,78.11457142857144
ALO,São Paulo Grand Prix,2.0,INTERMEDIATE,5.0,105.422
ALO,São Paulo Grand Prix,2.0,MEDIUM,20.0,76.92126315789473
ALO,São Paulo Grand Prix,3.0,INTERMEDIATE,37.0,85.82559375
ALO,São Paulo Grand Prix,3.0,MEDIUM,16.0,75.96886666666666
ALO,São Paulo Grand Prix,3.0,SOFT,25.0,78.688
ALO,São Paulo Grand Prix,4.0,MEDIUM,21.0,75.97935
ALO,São Paulo Grand Prix,4.0,SOFT,19.0,74.74541666666667
ALO,São Paulo Grand Prix,5.0,SOFT,24.0,74.95195652173913
ALO,United States Grand Prix,1.0,HARD,17.0,104.574375
ALO,United States Grand Prix,1.0,MEDIUM,25.0,102.79426315789475
ALO,United States Grand Prix,2.0,HARD,30.0,100.09703571428572
ALO,United States Grand Prix,2.0,MEDIUM,22.0,101.6722380952381
ALO,United States Grand Prix,3.0,HARD,34.0,102.83269444444444
BEA,Azerbaijan Grand Prix,1.0,MEDIUM,13.0,110.48641666666667
BEA,Azerbaijan Grand Prix,2.0,HARD,35.0,108.49135294117647
BEA,Saudi Arabian Grand Prix,1.0,SOFT,6.0,96.058
BEA,Saudi Arabian Grand Prix,2.0,HARD,40.0,93.90094736842104
BEA,São Paulo Grand Prix,1.0,INTERMEDIATE,26.0,85.58256
BEA,São Paulo Grand Prix,2.0,INTERMEDIATE,2.0,103.986
BEA,São Paulo Grand Prix,3.0,INTERMEDIATE,37.0,85.58128125
BOT,Abu Dhabi Grand Prix,1.0,HARD,29.0,92.51843636363637
BOT,Abu Dhabi Grand Prix,1.0,MEDIUM,5.0,90.209
BOT,Abu Dhabi Grand Prix,2.0,HARD,23.0,90.18
BOT,Abu Dhabi Grand Prix,2.0,MEDIUM,28.0,90.9833962264151
BOT,Australian Grand Prix,1.0,MEDIUM,21.0,85.2724090909091
BOT,Australian Grand Prix,2.0,HARD,36.0,83.63998245614036
BOT,Australian Grand Prix,3.0,HARD,40.0,83.3954375
BOT,Austrian Grand Prix,1.0,MEDIUM,18.0,72.15676190476191
BOT,Austrian Grand Prix,2.0,HARD,32.0,71.78906060606062
BOT,Austrian Grand Prix,3.0,HARD,28.0,71.31553846153847
BOT,Austrian Grand Prix,3.0,MEDIUM,18.0,70.67170588235295
BOT,Austrian Grand Prix,4.0,HARD,30.0,70.7121724137931
BOT,Azerbaijan Grand Prix,1.0,HARD,32.0,111.20637931034483
BOT,Azerbaijan Grand Prix,1.0,MEDIUM,11.0,111.33023076923077
BOT,Azerbaijan Grand Prix,2.0,HARD,38.0,109.5396052631579
BOT,Azerbaijan Grand Prix,2.0,MEDIUM,17.0,108.8034375
BOT,Azerbaijan Grand Prix,3.0,HARD,21.0,108.7263
BOT,Azerbaijan Grand Prix,4.0,MEDIUM,16.0,106.93946666666668
BOT,Bahrain Grand Prix,1.0,SOFT,16.0,100.19212903225807
BOT,Bahrain Grand Prix,2.0,HARD,17.0,98.61734375
BOT,Bahrain Grand Prix,2.0,MEDIUM,21.0,99.6985
BOT,Bahrain Grand Prix,3.0,HARD,28.0,97.41860000000001
BOT,Bahrain Grand Prix,3.0,MEDIUM,8.0,97.63671428571429
BOT,Bahrain Grand Prix,4.0,SOFT,14.0,97.222
BOT,Belgian Grand Prix,1.0,MEDIUM,10.0,111.05455555555555
BOT,Belgian Grand Prix,1.0,SOFT,5.0,115.403
BOT,Belgian Grand Prix,2.0,HARD,23.0,109.66445454545455
BOT,Belgian Grand Prix,2.0,MEDIUM,17.0,114.553125
BOT,Belgian Grand Prix,3.0,MEDIUM,20.0,110.86455555555555
BOT,British Grand Prix,1.0,HARD,31.0,94.14403333333333
BOT,British Grand Prix,1.0,MEDIUM,25.0,95.07625
BOT,British Grand Prix,2.0,INTERMEDIATE,10.0,104.24888888888889
BOT,British Grand Prix,2.0,MEDIUM,18.0,97.68835294117648
BOT,British Grand Prix,2.0,SOFT,20.0,92.30314285714284
BOT,British Grand Prix,3.0,SOFT,14.0,92.53884615384617
BOT,Canadian Grand Prix,1.0,HARD,40.0,78.99593548387097
BOT,Canadian Grand Prix,1.0,INTERMEDIATE,40.0,91.08675757575757
BOT,Canadian Grand Prix,2.0,MEDIUM,34.0,78.30749999999999
BOT,Chinese Grand Prix,1.0,MEDIUM,8.0,103.05328571428572
BOT,Chinese Grand Prix,2.0,HARD,10.0,102.22277777777778
BOT,Dutch Grand Prix,1.0,SOFT,15.0,81.81246341463415
BOT,Dutch Grand Prix,2.0,HARD,27.0,77.12688461538461
BOT,Dutch Grand Prix,2.0,MEDIUM,30.0,77.44336
BOT,Dutch Grand Prix,2.0,SOFT,17.0,77.496
BOT,Dutch Grand Prix,3.0,MEDIUM,27.0,76.9518
BOT,Dutch Grand Prix,3.0,SOFT,11.0,75.2784
BOT,Dutch Grand Prix,4.0,INTERMEDIATE,3.0,84.12950000000001
BOT,Dutch Grand Prix,6.0,INTERMEDIATE,9.0,85.36683333333333
BOT,Emilia Romagna Grand Prix,1.0,INTERMEDIATE,17.0,92.8513076923077
BOT,Emilia Romagna Grand Prix,1.0,MEDIUM,7.0,82.82483333333333
BOT,Emilia Romagna Grand Prix,2.0,HARD,40.0,82.67566666666667
BOT,Emilia Romagna Grand Prix,2.0,MEDIUM,40.0,81.79082051282052
BOT,French Grand Prix,1.0,HARD,17.0,101.3925
BOT,French Grand Prix,2.0,HARD,17.0,100.07333333333332
BOT,French Grand Prix,3.0,MEDIUM,17.0,98.54942857142858
BOT,Hungarian Grand Prix,1.0,MEDIUM,25.0,85.87516279069767
