lineup_id,d1,d2,n_d1,n_d2,median_d1,median_d2,median_diff,p_value,lap_gap,lap_se,ci_lower,ci_upper,lap_favours_d1,pit_favours_d1,concordant
Ferrari_2024_A,LEC,SAI,30,27,-0.15500000000000114,-0.30400000000000205,-0.1490000000000009,0.6836086269093582,0.009,0.033,-0.056,0.073,True,False,False
Ferrari_2025_A,HAM,LEC,18,15,-0.2814999999999994,-0.09049999999999869,0.19100000000000072,0.5507354210833397,-0.276,0.035,-0.345,-0.207,False,True,False
Haas F1 Team_2018_A,GRO,MAG,27,20,0.32250000000000156,0.037499999999999645,-0.2850000000000019,0.2966778917790671,-0.022,0.089,-0.196,0.152,False,False,True
Haas F1 Team_2019_A,GRO,MAG,21,29,0.045999999999999375,0.2589999999999968,0.2129999999999974,0.7531433943025466,-0.071,0.055,-0.179,0.037,False,True,False
Haas F1 Team_2022_A,MAG,MSC,11,12,0.29299999999999926,0.5500000000000025,0.2570000000000032,0.388768210791802,-0.017,0.05,-0.116,0.082,False,True,False
Haas F1 Team_2024_C,HUL,MAG,28,25,0.27649999999999864,0.6779999999999973,0.40149999999999864,0.009046177202695618,0.268,0.043,0.184,0.352,True,True,True
Haas F1 Team_2025_A,BEA,OCO,24,24,0.2079999999999984,0.29049999999999976,0.08250000000000135,0.8608698044170195,0.071,0.038,-0.004,0.146,True,True,True
McLaren_2021_A,NOR,RIC,19,19,0.16900000000000048,0.0400000000000027,-0.12899999999999778,0.6934698169458754,0.438,0.055,0.331,0.546,True,False,False
McLaren_2022_A,NOR,RIC,33,36,-0.1720000000000006,-0.12249999999999872,0.049500000000001876,0.6012884861622158,0.487,0.049,0.391,0.584,True,True,True
McLaren_2023_E,NOR,PIA,12,11,-0.4535000000000018,-0.26599999999999824,0.18750000000000355,0.7817614488837078,0.366,0.055,0.258,0.473,True,True,True
McLaren_2024_A,NOR,PIA,36,35,-0.41849999999999987,-0.1490000000000009,0.26949999999999896,0.3545301972151451,0.262,0.034,0.195,0.328,True,True,True
McLaren_2025_C,NOR,PIA,30,32,-0.18249999999999922,-0.07499999999999929,0.10749999999999993,0.9046968873203879,0.007,0.028,-0.048,0.063,True,True,True
Mercedes_2019_A,BOT,HAM,32,31,-0.2660000000000018,-0.2950000000000017,-0.028999999999999915,0.8473670485803363,-0.199,0.033,-0.264,-0.134,False,False,True
Mercedes_2020_A,BOT,HAM,19,17,-0.03450000000000131,-0.030000000000001137,0.0045000000000001705,0.41001002283362786,-0.324,0.05,-0.422,-0.226,False,True,False
Mercedes_2021_A,BOT,HAM,11,11,-0.027999999999998693,-0.24899999999999878,-0.22100000000000009,0.5993606964290359,-0.433,0.063,-0.557,-0.31,False,False,True
Mercedes_2022_D,HAM,RUS,21,28,-0.18999999999999773,-0.15850000000000009,0.03149999999999764,0.3961318591572768,0.007,0.064,-0.12,0.133,True,True,True
Mercedes_2024_A,HAM,RUS,28,28,-0.27050000000000196,-0.24200000000000088,0.02850000000000108,0.49128971912568764,-0.075,0.039,-0.152,0.003,False,True,False
Mercedes_2025_C,ANT,RUS,36,34,0.0,-0.2090000000000014,-0.2090000000000014,0.015994645291417763,-0.242,0.031,-0.303,-0.181,False,False,True
RB_2024_B,RIC,TSU,17,17,-0.2699999999999996,0.028999999999999915,0.2989999999999995,0.03877073678127162,0.1,0.054,-0.006,0.207,True,True,True
Racing Bulls_2025_G,HAD,LAW,22,20,-0.24575000000000102,-0.19274999999999842,0.0530000000000026,0.6592824285940982,0.165,0.041,0.085,0.245,True,True,True
Racing Point_2019_A,PER,STR,13,15,0.125,0.4059999999999988,0.2809999999999988,0.7471061995484956,0.157,0.054,0.051,0.264,True,True,True
Racing Point_2019_C,PER,STR,11,12,0.06299999999999883,-0.004249999999998977,-0.06724999999999781,0.9754506745843579,0.318,0.07,0.18,0.455,True,False,False
Red Bull Racing_2022_A,PER,VER,12,15,-0.5525000000000002,-0.3910000000000018,0.16149999999999842,0.7884125897107042,-0.256,0.04,-0.335,-0.177,False,True,False
Red Bull Racing_2023_C,PER,VER,17,23,-0.625,-0.360000000000003,0.264999999999997,0.23940937013321506,-0.562,0.064,-0.689,-0.436,False,True,False
Red Bull Racing_2025_F,TSU,VER,14,15,-0.1515000000000004,-0.1039999999999992,0.04750000000000121,0.9825901131969854,-1.199,0.045,-1.287,-1.111,False,True,False
Renault_2019_A,HUL,RIC,31,21,-0.007500000000000284,0.0,0.007500000000000284,0.8961286423845275,-0.022,0.044,-0.108,0.065,False,True,False
Williams_2018_G,SIR,STR,19,14,0.030000000000001137,-0.06299999999999883,-0.09299999999999997,0.23647565241391277,-0.41,0.112,-0.628,-0.191,False,False,True
Williams_2019_A,KUB,RUS,28,27,-0.18850000000000122,-0.012000000000000455,0.17650000000000077,0.6313474870441435,-0.671,0.051,-0.772,-0.571,False,True,False
Williams_2022_A,ALB,LAT,12,12,0.05600000000000094,-0.08949999999999925,-0.14550000000000018,0.1939308522824107,0.803,0.095,0.617,0.989,True,False,False
Williams_2025_C,ALB,SAI,27,33,0.09199999999999875,-0.0884999999999998,-0.18049999999999855,0.44856818504618057,-0.041,0.04,-0.12,0.038,False,False,True
